a,eid,lng,twts,h,i,pinnedCircle,title,l,lat,website,phone,description,country,city,street,postcode,state
,268449601,-72.425715,,"Belchertown, MA 01007",,0,UFP - Belchertown LLC,False,42.297956,https://www.ufpi.com/belchertown,(413) 323-7247,"UFP Belchertown is a leading Northeastern supplier of a wide variety of wood products, with a reputation for outstanding service, pricing and quality. Our products include roof and floor trusses, wall panels, EWP floor systems, Prowood treated lumber, and specialty insulation products",United States,Belchertown,155 Bay Road,01007,MA
,268449602,-72.723432,,"Westfield, MA 01085",,0,"Toll Integrated Systems, Inc.",False,42.156644,https://www.tisbuildingsolutions.com/,413-562-3861,"Toll Integrated Systems (TIS), a Toll Brothers Company, manufactures and supplies quality engineered construction components and related services. TIS provides a variety of cost-effective construction components to our customers, including wall panels, roof trusses, floor trusses and millwork.",United States,Westfield,100 Apremont Way,01085,MA
,268449603,-72.723432,,"Westfield, MA 01085",,0,"Toll Integrated Systems, Inc.",False,42.156644,https://www.tisbuildingsolutions.com/,413-562-3861,"Toll Integrated Systems (TIS), a Toll Brothers Company, manufactures and supplies quality engineered construction components and related services.",United States,Westfield,100 Apremont Way,01085,MA
,268449604,-71.954649,,"Gardner, MA 01440",,0,Top Notch Truss,False,42.564814,,978-630-3916,,United States,Gardner,101 Linus Allain Ave,01440,MA
,268449605,-70.951811,,"New Bedford, MA 01440",,0,"Reliable Truss & Components, Inc.",False,41.710064,http://www.reliabletruss.com,508-998-7877,"Since 1954, New England builders have trusted Reliable Truss, a division of National Lumber, for all their structural elements. We are experts in wood trusses, structural components, and materials. Reliable Truss is also a leading distributor of Boise Cascade wood I-Joists and beams. For both residential and commercial projects, we design and manufacture wood roof trusses, wall panels, timber trusses, and floor panels.",United States,New Bedford,200 Welby Road,01440,MA
